HEKaverageedited,K562averageedited,K562MLH1dnaverageedited,HEKpercentile,K562percentile,K562MLH1dnpercentile
52.07691650295029,1.9590116763213568,,70.89614925505107,62.759317862165965,
,0.2758977012581662,,,39.143811533052045,
50.35504953249377,2.53709344944726,30.24711840783083,70.12246341571246,66.58315752461323,80.0361381061679
58.71229538194012,0.1622286768694655,10.087384452001537,74.11910340863875,35.13097749648382,60.956194755091076
46.82156197547058,0.4930730661101934,8.363891020820573,68.49993368407091,44.62464838255977,58.519314352688376
8.51217541153834,0.4157541288357677,1.1866527807316989,47.548521154781376,42.84898030942335,38.448014845924696
,,2.205880438037944,,,44.66962934023538
64.0298188471428,2.724292809241882,18.46666591254445,77.38626818161723,67.62482419127988,69.6781755139913
68.60881684556996,2.7034730963296107,26.916549535289743,80.88332817542774,67.48417721518987,76.92533085901255
29.16011671355939,1.852267634699034,13.93237730798439,60.727706795172196,61.990154711673696,65.25369927235435
51.468244903334224,2.48196951089744,25.115261298882576,70.62646447676731,66.2710970464135,75.41143722224936
79.74298062226255,13.666305732593289,41.773167240997225,93.26230160484549,88.54166666666666,89.79342677149972
74.16547037994066,17.3521325166062,32.70077898526063,86.46270834254388,90.76564697609001,82.22395858768374
3.3041006530334305,0.0,1.495159176521654,38.77271320571201,14.176775668073136,40.772574107535284
55.3946745327175,4.205576892650232,27.413846701540404,72.42583668597197,73.80450070323488,77.41368364506519
54.16786685287405,3.9597921946928953,23.57737697921949,71.78920376674476,72.93424753867792,74.14171997851248
41.42439431913115,2.4949807895350906,15.738591660110153,66.0374021840046,66.3414205344585,66.97758460712019
63.27049292356414,3.6920783006687103,38.44139125147869,76.9132145541359,71.88379043600563,87.22957464472336
,,,,,
72.25916668457819,1.6289050545872117,,84.38038816923824,60.056258790436004,
64.44638658661596,34.9508345587873,50.22972122616128,77.61616340244927,96.18934599156118,94.29115593104459
66.69680073446223,19.895912593834783,40.159015336839445,79.27848269154251,91.9479606188467,88.56277775064707
26.398097513215863,4.2813684320624175,5.820469865581747,59.50749369998674,74.11216596343179,54.426918005567224
71.94990675705941,5.234147422259992,30.76170547049334,84.11070339095451,76.85478199718706,80.53914147580213
65.75052474214229,4.2780391737174215,31.659811555642342,78.53574428577744,74.09898030942334,81.43282707427846
,0.1021770490334005,4.085188477280929,,32.42791842475386,50.8033403330566
2.594717568228836,0.0,0.048947626040137,36.57986648392944,14.176775668073136,20.25443180153343
80.61152022236804,8.215774466725321,50.62575195951501,94.27472478889429,82.87183544303798,94.46696293402354
72.77108949493324,3.0486517721533986,34.51427178793882,84.91533666386665,69.13677918424754,83.86482394882063
48.69659085824103,1.2652863989720138,26.379711561685458,69.41509350546,56.53568917018285,76.46139571226254
4.918503202413334,0.0,0.6043931443525452,42.45103673902471,14.176775668073136,32.387556771011376
35.112572887438844,0.4694325626337013,9.912645428260507,63.38476502055794,44.132383966244724,60.72178541778581
47.7313309727632,0.4980998833986395,10.473012317623036,68.95530306379592,44.74331926863572,61.39571226253846
21.746349603671245,0.3766478342749529,8.250055734706704,57.15548874839737,41.928182137834035,58.36304146115153
,3.639987884443789,,,71.69919127988749,
69.12955763044704,2.5082360691158936,39.82986736357708,81.32101330739644,66.41174402250351,88.31371782976022
67.80176861832344,4.174894715144393,33.02072508746847,80.25111631813961,73.707805907173,82.56092201006007
57.31839230449726,3.813245060414261,26.22804583021552,73.35868075511738,72.3540787623066,76.29535576500463
73.55865483237807,7.492569953229494,33.28023243236563,85.77302268004775,81.75545007032349,82.7513795966206
73.85761107631069,4.765454194076537,28.407218211438916,86.09133913966134,75.60214486638537,78.33178688284417
1.3344406851688404,0.8078391875445886,1.5017116102496029,30.660064547504312,50.48347398030943,40.80675880255897
24.42436448924313,1.1607187672539274,16.140837193468773,58.530439011450554,55.32260900140648,67.49035503247546
0.1141552511415525,0.0,0.7011041317155007,16.30708696228834,14.176775668073136,33.68169165405089
45.81143951833607,2.193530801268872,20.09613923088616,68.01803793271144,64.4690576652602,71.1920691507545
6.6332050179421485,0.5576846466546149,2.0809863102884,45.25399000840002,45.93442334739803,43.98105191190116
13.524800173304849,0.1060445387062566,8.025926459573917,52.018214775188994,32.612517580872016,58.02607803877521
18.651393215907188,0.0423549343498517,8.340880434578262,55.39590609664441,29.509493670886076,58.465595546222595
1.0581790078023048,0.0,0.6749182474154042,28.732481542066406,14.176775668073136,33.3886799824193
1.6109817106315896,0.277680271002246,2.7375449620325227,32.30469958884124,39.18336849507735,46.69629340235386
3.61951976077928,0.0801282051282051,0.7061455472211323,39.62597815995402,31.35988045007032,33.730526932656154
3.093269252209649,0.0,0.7699168437344245,38.25102789690084,14.176775668073136,34.51189139034038
74.98990639715872,3.191403872032584,32.58321830340058,87.38671028781113,69.80485232067511,82.12628803047322
68.29595306157806,3.877975630766917,28.71282425077501,80.64901189265662,72.61779184247538,78.53689505298628
,,,,,
24.15083544555596,2.628710837449354,9.384265378055607,58.39338609133914,67.06663150492264,60.06250915661474
55.82776020988828,2.060833626153151,18.068274458673294,72.66457403068218,63.52408579465541,69.30702739659131
12.615802555087486,2.272851431021628,8.162317574666913,51.33295017463194,64.98769338959212,58.245836792498906
14.692262790930036,0.0,4.306178020121467,52.80958486228392,14.176775668073136,51.29657664696977
,,,,,
64.23134168778569,3.6692533215255767,30.631702104782985,77.4923736681551,71.80907172995781,80.43170386287053
90.77189348249622,68.10657336511777,76.70423661595139,99.93810513285291,99.37148382559775,99.5946671875763
36.93077506356319,1.6703608979823814,15.821940429982169,64.17613510765285,60.381504922644154,67.09478927577281
